"A";"AFGHANISTAN"
"N";"ALBANIA"
"Y";"ALGERIA"
"N";"ANDORRA"
"Y";"ANGOLA"
"Y";"ANTIGUA AND BARBUDA"
"N";"ARGENTINA"
"N";"ARMENIA"
"N";"AUSTRALIA"
"N";"AUSTRIA"
"N";"AZERBAIJAN"
"Y";"BAHAMAS"
"Y";"BAHRAIN"
"Y";"BANGLADESH"
"Y";"BARBADOS"
"N";"BELARUS"
"N";"BELGIUM"
"Y";"BELIZE"
"Y";"BENIN"
"Y";"BHUTAN"
"A";"BOLIVIA"
"Non";"BOSNIA AND HERZEGOVINA"
"Y";"BOTSWANA"
"Y";"BRAZIL"
"Y";"BRUNEI DARUSSALAM"
"N";"BULGARIA"
"Y";"BURKINA FASO"
"Non";"BURUNDI"
"Non";"CAMBODIA"
"Y";"CAMEROON"
"N";"CANADA"
"Y";"CAPE VERDE"
"Non";"CENTRAL AFRICAN REPUBLIC"
"Y";"CHAD"
"A";"CHILE"
"Y";"CHINA"
"Y";"COLOMBIA"
"Y";"COMOROS"
"Non";"CONGO"
"Non";"COSTA RICA"
"Y";"COTE D'IVOIRE"
"N";"CROATIA"
"Y";"CUBA"
"N";"CYPRUS"
"N";"CZECH REPUBLIC"
"Y";"DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA"
"Y";"DEMOCRATIC REPUBLIC OF THE CONGO"
"N";"DENMARK"
"Y";"DJIBOUTI"
"Y";"DOMINICA"
"Non";"DOMINICAN REPUBLIC"
"A";"ECUADOR"
"Y";"EGYPT"
"Y";"EL SALVADOR"
"Y";"EQUATORIAL GUINEA"
"A";"ERITREA"
"N";"ESTONIA"
"A";"ETHIOPIA"
"Y";"FIJI"
"N";"FINLAND"
"N";"FRANCE"
"Y";"GABON"
"Non";"GAMBIA"
"N";"GEORGIA"
"N";"GERMANY"
"Y";"GHANA"
"N";"GREECE"
"Y";"GRENADA"
"A";"GUATEMALA"
"Y";"GUINEA"
"Y";"GUINEA-BISSAU"
"Y";"GUYANA"
"Non";"HAITI"
"Y";"HONDURAS"
"N";"HUNGARY"
"N";"ICELAND"
"Y";"INDIA"
"Y";"INDONESIA"
"Y";"IRAN (ISLAMIC REPUBLIC OF)"
"Non";"IRAQ"
"N";"IRELAND"
"N";"ISRAEL"
"N";"ITALY"
"Y";"JAMAICA"
"N";"JAPAN"
"Y";"JORDAN"
"N";"KAZAKHSTAN"
"Y";"KENYA"
"Y";"KUWAIT"
"A";"KYRGYZSTAN"
"Y";"LAO PEOPLE'S DEMOCRATIC REPUBLIC"
"N";"LATVIA"
"Y";"LEBANON"
"Y";"LESOTHO"
"Y";"LIBERIA"
"Y";"LIBYAN ARAB JAMAHIRIYA"
"N";"LIECHTENSTEIN"
"N";"LITHUANIA"
"N";"LUXEMBOURG"
"Non";"MADAGASCAR"
"Y";"MALAWI"
"Y";"MALAYSIA"
"Y";"MALDIVES"
"Y";"MALI"
"N";"MALTA"
"N";"MARSHALL ISLANDS"
"Y";"MAURITANIA"
"Y";"MAURITIUS"
"Y";"MEXICO"
"N";"MICRONESIA (FEDERATED STATES OF)"
"N";"MONACO"
"Y";"MONGOLIA"
"Y";"MOROCCO"
"Y";"MOZAMBIQUE"
"Y";"MYANMAR"
"Y";"NAMIBIA"
"Y";"NEPAL"
"N";"NETHERLANDS"
"N";"NEW ZEALAND"
"Y";"NICARAGUA"
"Y";"NIGER"
"Y";"NIGERIA"
"N";"NORWAY"
"Y";"OMAN"
"Y";"PAKISTAN"
"Non";"PALAU"
"Y";"PANAMA"
"Y";"PAPUA NEW GUINEA"
"Y";"PARAGUAY"
"Y";"PERU"
"Y";"PHILIPPINES"
"N";"POLAND"
"N";"PORTUGAL"
"Y";"QATAR"
"N";"REPUBLIC OF KOREA"
"N";"REPUBLIC OF MOLDOVA"
"N";"ROMANIA"
"N";"RUSSIAN FEDERATION"
"Non";"RWANDA"
"Y";"SAINT KITTS AND NEVIS"
"Y";"SAINT LUCIA"
"Non";"SAINT VINCENT AND THE GRENADINES"
"N";"SAMOA"
"N";"SAN MARINO"
"Non";"SAO TOME AND PRINCIPE"
"Y";"SAUDI ARABIA"
"A";"SENEGAL"
"Non";"SEYCHELLES"
"A";"SIERRA LEONE"
"Y";"SINGAPORE"
"N";"SLOVAKIA"
"N";"SLOVENIA"
"N";"SOLOMON ISLANDS"
"Non";"SOMALIA"
"Y";"SOUTH AFRICA"
"N";"SPAIN"
"Y";"SRI LANKA"
"Y";"SUDAN"
"Y";"SURINAME"
"Y";"SWAZILAND"
"N";"SWEDEN"
"Y";"SYRIAN ARAB REPUBLIC"
"N";"TAJIKISTAN"
"Y";"THAILAND"
"N";"THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA"
"Y";"TOGO"
"Y";"TRINIDAD AND TOBAGO"
"Y";"TUNISIA"
"N";"TURKEY"
"A";"TURKMENISTAN"
"Y";"UGANDA"
"N";"UKRAINE"
"Y";"UNITED ARAB EMIRATES"
"N";"UNITED KINGDOM"
"Y";"UNITED REPUBLIC OF TANZANIA"
"N";"UNITED STATES"
"Y";"URUGUAY"
"Non";"UZBEKISTAN"
"A";"VANUATU"
"Y";"VENEZUELA"
"Y";"VIET NAM"
"Y";"YEMEN"
"Non";"YUGOSLAVIA"
"Y";"ZAMBIA"
"Y";"ZIMBABWE"
